species,name,group
Dog,Pointer/Bull Terrier,Sporting; Terrier
Dog,Bull Terrier/Pit Bull,Terrier
Dog,Picardy Sheepdog,Herding
Dog,Australian Cattle Dog/Parson Russell Terrier,Herding; Terrier
Dog,Border Terrier/Border Collie,Herding; Terrier
Dog,Border Collie/Beagle,Herding; Hound
Dog,Black Mouth Cur/American Staffordshire Terrier,Hound; Terrier
Dog,Australian Kelpie/Finnish Spitz,Non-Sporting; Terrier
Dog,Staffordshire/Beagle,Hound; Terrier
Dog,Labrador Retriever/Rottweiler,Sporting; Working
Dog,Labrador Retriever/English Pointer,Sporting
Dog,Boxer,Working
Dog,Queensland Heeler/German Shepherd,Herding
Dog,Norwegian Forest Cat Mix,Hound
Dog,Domestic Longhair,Hound
Dog,Australian Kelpie/Chihuahua Shorthair,Toy; Terrier
Dog,Domestic Shorthair Mix,Sporting
Dog,Whippet Mix,Hound
Dog,Vizsla/Beagle,Sporting; Hound
Dog,German Shepherd/Great Pyrenees,Herding; Working
Dog,Border Terrier/Shih Tzu,Toy; Terrier
Dog,Persian,Toy
Dog,Doberman Pinsch/Border Collie,Herding; Working
Dog,Miniature Pinscher/Smooth Fox Terrier,Toy; Terrier
Dog,Beagle/Chihuahua Shorthair,Toy; Hound
Dog,Border Collie/Boxer,Herding; Working
Dog,Staffordshire/Boston Terrier,Non-Sporting; Terrier
Dog,St. Bernard Rough Coat Mix,Working
Dog,Pekingese/Lhasa Apso,Non-Sporting; Toy
Dog,Dachshund Longhair/Toy Poodle,Non-Sporting; Hound; Toy
Dog,Miniature Poodle/Pomeranian,Toy
Dog,Pit Bull/Cardigan Welsh Corgi,Herding; Terrier
Dog,Anatol Shepherd,Working
Dog,Whippet/Jack Russell Terrier,Hound; Terrier
Dog,Australian Shepherd/Jack Russell Terrier,Herding; Terrier
Dog,Pekingese/Pug,Toy
Dog,Border Collie/Catahoula,Herding; Toy
Dog,Shetland Sheepdog/Cavalier Span,Herding; Sporting
Dog,Manx/Siamese,Non-Sporting; Working
Dog,Collie Smooth/Saluki,Herding; Hound
Dog,Doberman Pinsch/German Shepherd,Herding; Working
Dog,Ragdoll,Herding
Dog,American Bulldog/English Bulldog,Non-Sporting; Hound
Dog,Shiba Inu/German Shepherd,Non-Sporting; Herding
Dog,Border Terrier,Terrier
Dog,Golden Retriever/Australian Shepherd,Sporting; Herding
Dog,Black Mouth Cur/Siberian Husky,Hound; Working
Dog,Yorkshire Terrier/Shih Tzu,Toy
Dog,Border Collie/Alaskan Husky,Herding; Working
Dog,Beagle/Vizsla,Sporting; Hound
Dog,Catahoula/Australian Shepherd,Herding; Toy
Dog,Beagle/Australian Kelpie,Hound; Terrier
Dog,Cardigan Welsh Corgi,Herding
Dog,Australian Cattle Dog/Catahoula,Herding; Toy
Dog,Bruss Griffon/Pug,Toy
Dog,Border Collie/Queensland Heeler,Herding
Dog,Manchester Terrier/Chihuahua Shorthair,Toy; Terrier
Dog,Pomeranian/American Eskimo,Non-Sporting; Toy
Dog,Australian Shepherd/Brittany,Herding; Sporting
Dog,Irish Wolfhound/Great Dane,Hound; Working
Dog,German Shepherd/Anatol Shepherd,Herding; Working
Dog,Cardigan Welsh Corgi/Chihuahua Longhair,Herding; Toy
Dog,Scottish Fold Mix,Hound
Dog,Great Dane/Australian Shepherd,Herding; Working
Dog,Siberian Husky/Beagle,Hound; Working
Dog,Maltese/Miniature Poodle,Toy
Dog,Chihuahua Shorthair/Pug,Toy
Dog,Labrador Retriever/American Bulldog,Sporting; Hound
Dog,Queensland Heeler/Great Dane,Herding; Working
Dog,Dachshund Wirehair/Yorkshire Terrier,Toy; Hound
Dog,Great Pyrenees/German Shepherd,Herding; Working
Dog,Irish Wolfhound/Australian Shepherd,Herding; Hound
Dog,Manchester Terrier/Labrador Retriever,Sporting; Toy; Terrier
Dog,Pit Bull Mix,Terrier
Dog,Pit Bull/Chihuahua Shorthair,Toy; Terrier
Dog,Bluetick Hound/Treeing Walker Coonhound,Hound
Dog,Border Collie/Australian Shepherd,Herding
Dog,Dutch Shepherd Mix,Herding
